ユリウス暦,735/1/29,2月27日,3月29日,4月27日,5月27日,6月25日,7月24日,8月23日,9月21日,10月21日,11月19日,12月19日,736/1/18
天平八年（丙子）,一月,二月,三月※,四月,五月※,六月※,七月,八月※,九月,十月※,十一月,十二月※,
ユリウス暦,736/2/16,3月17日,4月16日,5月15日,6月14日,7月13日,8月11日,9月10日,10月9日,11月8日,12月7日,737/1/6,
天平九年（丁丑）,一月,二月,三月,四月※,五月,六月※,七月※,八月,九月※,十月,十一月※,十二月,
ユリウス暦,737/2/4,3月6日,4月5日,5月5日,6月3日,7月3日,8月1日,8月30日,9月29日,10月28日,11月27日,12月26日,
天平十年（戊寅）,一月※,二月,三月,四月※,五月,六月※,七月,閏七月※,八月,九月※,十月,十一月※,十二月
ユリウス暦,738/1/25,2月23日,3月25日,4月24日,5月23日,6月22日,7月21日,8月20日,9月18日,10月18日,11月16日,12月16日,739/1/14
天平十一年（己卯）,一月※,二月,三月※,四月,五月,六月※,七月,八月※,九月,十月※,十一月,十二月※,
ユリウス暦,739/2/13,3月14日,4月13日,5月12日,6月11日,7月11日,8月9日,9月8日,10月7日,11月6日,12月5日,740/1/4,
天平十二年（庚辰）,一月,二月※,三月,四月※,五月,六月※,七月,八月,九月※,十月,十一月※,十二月,
ユリウス暦,740/2/2,3月3日,4月1日,5月1日,5月30日,6月29日,7月28日,8月27日,9月26日,10月25日,11月24日,12月23日,
天平十三年（辛巳）,一月※,二月,三月※,閏三月※,四月,五月※,六月,七月,八月※,九月,十月,十一月※,十二月
ユリウス暦,741/1/22,2月20日,3月22日,4月20日,5月19日,6月18日,7月17日,8月16日,9月15日,10月14日,11月13日,12月13日,742/1/11
天平十四年（壬午）,一月※,二月,三月※,四月※,五月,六月※,七月,八月※,九月,十月,十一月,十二月※,
ユリウス暦,742/2/10,3月11日,4月10日,5月9日,6月7日,7月7日,8月5日,9月4日,10月3日,11月2日,12月2日,743/1/1,
天平十五年（癸未）,一月,二月※,三月,四月※,五月※,六月,七月※,八月,九月※,十月,十一月,十二月,
ユリウス暦,743/1/30,3月1日,3月30日,4月29日,5月28日,6月26日,7月26日,8月24日,9月23日,10月22日,11月21日,12月21日,
天平十六年（甲申）,一月※,閏一月,二月※,三月,四月※,五月※,六月,七月※,八月※,九月,十月,十一月※,十二月
ユリウス暦,744/1/20,2月18日,3月19日,4月17日,5月17日,6月15日,7月14日,8月13日,9月11日,10月10日,11月9日,12月9日,745/1/7
天平十七年（乙酉）,一月,二月,三月※,四月,五月※,六月※,七月,八月※,九月※,十月,十一月,十二月※,
ユリウス暦,745/2/6,3月8日,4月7日,5月6日,6月5日,7月4日,8月2日,9月1日,9月30日,10月29日,11月28日,12月28日,
天平十八年（丙戌）,一月,二月,三月※,四月,五月,六月※,七月※,八月,九月※,閏九月,十月※,十一月,十二月※
ユリウス暦,746/1/26,2月25日,3月27日,4月25日,5月25日,6月24日,7月23日,8月21日,9月20日,10月19日,11月18日,12月17日,747/1/16
天平十九年（丁亥）,一月,二月※,三月,四月,五月※,六月,七月※,八月,九月※,十月,十一月※,十二月,
ユリウス暦,747/2/14,3月16日,4月14日,5月14日,6月13日,7月12日,8月11日,9月9日,10月9日,11月7日,12月7日,748/1/5,
天平二十年（戊子）,一月※,二月,三月※,四月,五月※,六月,七月,八月※,九月,十月※,十一月,十二月※,
ユリウス暦,748/2/4,3月4日,4月3日,5月2日,6月1日,6月30日,7月30日,8月29日,9月27日,10月27日,11月25日,12月25日,
天平二十一年（己丑）,一月,二月※,三月※,四月,五月,閏五月※,六月,七月※,八月,九月,十月※,十一月,十二月※
ユリウス暦,749/1/23,2月22日,3月23日,4月21日,5月21日,6月20日,7月19日,8月18日,9月16日,10月16日,11月15日,12月14日,750/1/13
天平感宝元年（己丑）,一月,二月※,三月※,四月,五月,閏五月※,六月,七月※,八月,九月,十月※,十一月,十二月※
ユリウス暦,749/1/23,2月22日,3月23日,4月21日,5月21日,6月20日,7月19日,8月18日,9月16日,10月16日,11月15日,12月14日,750/1/13
天平勝宝元年（己丑）,一月,二月※,三月※,四月,五月,閏五月※,六月,七月※,八月,九月,十月※,十一月,十二月※
