文保,j1317-03-16,j1319-05-18,,,,,,,
元応,j1319-05-18,j1321-03-22,,,,,,,
元亨,j1321-03-22,j1324-12-25,,,,,,,
正中,j1324-12-25,j1326-05-28,,,,,,,
嘉暦,j1326-05-28,j1329-09-22,,,,,,,
元徳,j1329-09-22,j1331-09-11,,,,,,,
元弘,j1331-09-11,j1332-05-23,大覚寺統,元弘,持明院統,元徳,,,
元弘,j1332-05-23,j1333-07-07,大覚寺統,元弘,持明院統,正慶,,,
元弘,j1333-07-08,j1334-03-05,,,,,,,
建武,j1334-03-05,j1336-04-11,,,,,,,
延元,j1336-04-11,j1338-10-11,南朝,延元,北朝,建武,,,
延元,j1338-10-11,j1340-05-25,南朝,延元,北朝,暦応,,,
興国,j1340-05-25,j1342-06-01,南朝,興国,北朝,暦応,,,
興国,j1342-06-01,j1345-11-15,南朝,興国,北朝,康永,,,
興国,j1345-11-15,j1347-01-20,南朝,興国,北朝,貞和,,,
正平,j1347-01-20,j1350-04-04,南朝,正平,北朝,貞和,,,
正平,j1350-04-04,j1351-08-04a,南朝,正平,北朝,観応,長門探題,貞和,
正平,j1351-08-04a,j1351-11-26,南朝,正平,北朝,観応,,,
正平,j1351-11-27,j1352-03-27a,,,,,,,
正平,j1352-03-28a,j1352-11-04,南朝,正平,北朝,観応,,,
正平,j1352-11-04,j1356-04-29,南朝,正平,北朝,文和,,,
正平,j1356-04-29,j1361-05-04,南朝,正平,北朝,延文,,,
正平,j1361-05-04,j1362-10-11,南朝,正平,北朝,康安,,,
正平,j1362-10-11,j1368-03-07,南朝,正平,北朝,貞治,,,
正平,j1368-03-07,j1370-08-16,南朝,正平,北朝,応安,,,
建徳,j1370-08-16,j1372-05-04,南朝,建徳,北朝,応安,,,
文中,j1372-05-04,j1375-03-29,南朝,文中,北朝,応安,,,
文中,j1375-03-29,j1375-06-26,南朝,文中,北朝,永和,,,
天授,j1375-06-26,j1379-04-09,南朝,天授,北朝,永和,,,
天授,j1379-04-09,j1381-03-06,南朝,天授,北朝,康暦,,,
弘和,j1381-03-06,j1381-03-20,南朝,弘和,北朝,康暦,,,
弘和,j1381-03-20,j1384-03-19,南朝,弘和,北朝,永徳,,,
弘和,j1384-03-19,j1384-05-18,南朝,弘和,北朝,至徳,,,
元中,j1384-05-18,j1387-10-05,南朝,元中,北朝,至徳,,,
元中,j1387-10-05,j1389-03-07,南朝,元中,北朝,嘉慶,,,
元中,j1389-03-07,j1390-04-12,南朝,元中,北朝,康応,,,
元中,j1390-04-12,j1392-11-19,南朝,元中,北朝,明徳,,,
明徳,j1392-11-20,j1394-08-02,,,,,,,
応永,j1394-08-02,j1428-06-10,,,,,,,
正長,j1428-06-10,j1429-10-03,,,,,,,
永享,j1429-10-03,j1432-02-01a,室町幕府,永享,鎌倉府,正長,,,
永享,j1432-02-02a,j1441-03-10,,,,,,,
嘉吉,j1441-03-10,j1444-02-23,,,,,,,
文安,j1444-02-23,j1449-08-16,,,,,,,
宝徳,j1449-08-16,j1452-08-10,,,,,,,
享徳,j1452-08-10,j1455-09-06,,,,,,,
康正,j1455-09-06,j1457-10-16,室町幕府,康正,古河府,享徳,,,
長禄,j1457-10-16,j1461-02-01,室町幕府,長禄,古河府,享徳,,,
寛正,j1461-02-01,j1466-03-14,室町幕府,寛正,古河府,享徳,,,
文正,j1466-03-14,j1467-04-09,室町幕府,文正,古河府,享徳,,,
応仁,j1467-04-09,j1469-06-08,室町幕府,応仁,古河府,享徳,,,
文明,j1469-06-08,j1479-01-22a,室町幕府,文明,古河府,享徳,,,
文明,j1479-01-23a,j1487-08-09,,,,,,,
長享,j1487-08-09,j1489-09-16,,,,,,,
延徳,j1489-09-16,j1492-08-12,,,,,,,
明応,j1492-08-12,j1501-03-18,,,,,,,
文亀,j1501-03-18,j1504-03-16,,,,,,,
永正,j1504-03-16,j1521-09-23,,,,,,,
大永,j1521-09-23,j1528-09-03,,,,,,,
享禄,j1528-09-03,j1532-08-29,,,,,,,
天文,j1532-08-29,j1555-11-07,,,,,,,
弘治,j1555-11-07,j1558-03-18,,,,,,,
永禄,j1558-03-18,j1570-05-27,,,,,,,
元亀,j1570-05-27,j1573-08-25,,,,,,,
天正,j1573-08-25,1593-01-10,,,,,,,
文禄,1593-01-10,1596-12-16,,,,,,,
慶長,1596-12-16,1615-09-05,,,,,,,
元和,1615-09-05,1624-04-17,,,,,,,
寛永,1624-04-17,1645-01-13,,,,,,,
正保,1645-01-13,1648-04-07,,,,,,,
慶安,1648-04-07,1652-10-20,,,,,,,
承応,1652-10-20,1655-05-18,,,,,,,
明暦,1655-05-18,1658-08-21,,,,,,,
万治,1658-08-21,1661-05-23,,,,,,,
寛文,1661-05-23,1673-10-30,,,,,,,
延宝,1673-10-30,1681-11-09,,,,,,,
天和,1681-11-09,1684-04-05,,,,,,,
貞享,1684-04-05,1688-10-23,,,,,,,
元禄,1688-10-23,1704-04-16,,,,,,,
