ユリウス暦,1824/1/19,2月18日,3月19日,4月17日,5月16日,6月15日,7月14日,8月12日,9月11日,10月10日,11月9日,12月8日,1825/1/7
文政八年（乙酉）,一月,二月※,三月,四月※,五月,六月※,七月,八月※,九月※,十月,十一月※,十二月,
グレゴリオ暦,1825/2/18,3月20日,4月18日,5月18日,6月16日,7月16日,8月14日,9月13日,10月12日,11月10日,12月10日,1826/1/8,
ユリウス暦,1825/2/6,3月8日,4月6日,5月6日,6月4日,7月4日,8月2日,9月1日,9月30日,10月29日,11月28日,12月27日,
文政九年（丙戌）,一月,二月※,三月,四月,五月※,六月,七月※,八月,九月※,十月※,十一月,十二月※,
グレゴリオ暦,1826/2/7,3月9日,4月7日,5月7日,6月6日,7月5日,8月4日,9月2日,10月2日,10月31日,11月29日,12月29日,
ユリウス暦,1826/1/26,2月25日,3月26日,4月25日,5月25日,6月23日,7月23日,8月21日,9月20日,10月19日,11月17日,12月17日,
文政十年（丁亥）,一月,二月※,三月,四月,五月※,六月,閏六月※,七月,八月,九月※,十月※,十一月,十二月※
グレゴリオ暦,1827/1/27,2月26日,3月27日,4月26日,5月26日,6月24日,7月24日,8月22日,9月21日,10月21日,11月19日,12月18日,1828/1/17
ユリウス暦,1827/1/15,2月14日,3月15日,4月14日,5月14日,6月12日,7月12日,8月10日,9月9日,10月9日,11月7日,12月6日,1828/1/5
文政十一年（戊子）,一月,二月※,三月,四月※,五月,六月,七月※,八月,九月※,十月,十一月,十二月※,
グレゴリオ暦,1828/2/15,3月16日,4月14日,5月14日,6月12日,7月12日,8月11日,9月9日,10月9日,11月7日,12月7日,1829/1/6,
ユリウス暦,1828/2/3,3月4日,4月2日,5月2日,5月31日,6月30日,7月30日,8月28日,9月27日,10月26日,11月25日,12月25日,
文政十二年（己丑）,一月※,二月,三月※,四月,五月※,六月,七月※,八月,九月,十月※,十一月,十二月,
グレゴリオ暦,1829/2/4,3月5日,4月4日,5月3日,6月2日,7月1日,7月31日,8月29日,9月28日,10月28日,11月26日,12月26日,
ユリウス暦,1829/1/23,2月21日,3月23日,4月21日,5月21日,6月19日,7月19日,8月17日,9月16日,10月16日,11月14日,12月14日,
文政十三年（庚寅）,一月※,二月※,三月,閏三月※,四月,五月※,六月※,七月,八月,九月※,十月,十一月,十二月
グレゴリオ暦,1830/1/25,2月23日,3月24日,4月23日,5月22日,6月21日,7月20日,8月18日,9月17日,10月17日,11月15日,12月15日,1831/1/14
ユリウス暦,1830/1/13,2月11日,3月12日,4月11日,5月10日,6月9日,7月8日,8月6日,9月5日,10月5日,11月3日,12月3日,1831/1/2
天保元年（庚寅）,一月※,二月※,三月,閏三月※,四月,五月※,六月※,七月,八月,九月※,十月,十一月,十二月
グレゴリオ暦,1830/1/25,2月23日,3月24日,4月23日,5月22日,6月21日,7月20日,8月18日,9月17日,10月17日,11月15日,12月15日,1831/1/14
ユリウス暦,1830/1/13,2月11日,3月12日,4月11日,5月10日,6月9日,7月8日,8月6日,9月5日,10月5日,11月3日,12月3日,1831/1/2
天保二年（辛卯）,一月※,二月,三月※,四月※,五月※,六月,七月※,八月,九月※,十月,十一月,十二月,
グレゴリオ暦,1831/2/13,3月14日,4月13日,5月12日,6月10日,7月9日,8月8日,9月6日,10月6日,11月4日,12月4日,1832/1/3,
ユリウス暦,1831/2/1,3月2日,4月1日,4月30日,5月29日,6月27日,7月27日,8月25日,9月24日,10月23日,11月22日,12月22日,
天保三年（壬辰）,一月,二月※,三月,四月※,五月※,六月※,七月,八月※,九月,十月※,十一月,閏十一月,十二月
グレゴリオ暦,1832/2/2,3月3日,4月1日,5月1日,5月30日,6月28日,7月27日,8月26日,9月24日,10月24日,11月22日,12月22日,1833/1/21
ユリウス暦,1832/1/21,2月20日,3月20日,4月19日,5月18日,6月16日,7月15日,8月14日,9月12日,10月12日,11月10日,12月10日,1833/1/9
天保四年（癸巳）,一月※,二月,三月※,四月,五月※,六月※,七月,八月※,九月,十月※,十一月,十二月,
グレゴリオ暦,1833/2/20,3月21日,4月20日,5月19日,6月18日,7月17日,8月15日,9月14日,10月13日,11月12日,12月11日,1834/1/10,
ユリウス暦,1833/2/8,3月9日,4月8日,5月7日,6月6日,7月5日,8月3日,9月2日,10月1日,10月31日,11月29日,12月29日,
天保五年（甲午）,一月※,二月,三月,四月※,五月,六月※,七月※,八月,九月※,十月,十一月※,十二月,
グレゴリオ暦,1834/2/9,3月10日,4月9日,5月9日,6月7日,7月7日,8月5日,9月3日,10月3日,11月1日,12月1日,12月30日,
ユリウス暦,1834/1/28,2月26日,3月28日,4月27日,5月26日,6月25日,7月24日,8月22日,9月21日,10月20日,11月19日,12月18日,
天保六年（乙未）,一月※,二月,三月,四月※,五月,六月,七月※,閏七月※,八月,九月※,十月,十一月※,十二月
グレゴリオ暦,1835/1/29,2月27日,3月29日,4月28日,5月27日,6月26日,7月26日,8月24日,9月22日,10月22日,11月20日,12月20日,1836/1/18
ユリウス暦,1835/1/17,2月15日,3月17日,4月16日,5月15日,6月14日,7月14日,8月12日,9月10日,10月10日,11月8日,12月8日,1836/1/6
天保七年（丙申）,一月※,二月,三月※,四月,五月,六月※,七月,八月※,九月,十月※,十一月,十二月※,
